16
minimax
79901,175.816882,1.000000,0.751155,0
93404,83.761651,1.000000,0.566594,0
52805,123.988344,0.361948,1.000000,0
34704,152.418632,1.000000,0.294434,0
28801,67.458871,1.000000,0.883122,1
26402,104.608623,0.733128,1.000000,2
50802,120.793774,1.000000,1.000000,1
89305,76.691519,0.885428,1.000000,0
72502,109.891495,0.871812,1.000000,0
94703,175.816882,0.594986,1.000000,0
66002,123.988344,1.000000,0.675561,0
52204,132.065710,1.000000,0.725432,0
37602,66.160736,1.000000,1.000000,0
40405,152.418632,0.720985,0.21235,0
15502,67.904845,0.617216,1.000000,2
16305,104.231557,1.000000,1.000000,0
